"","is_control","sample_type","sample_well"
"12692.150003",FALSE,"plasma","H14"
"12692.150005",FALSE,"plasma","L14"
"12692.150006",FALSE,"plasma","B16"
"12692.150007",FALSE,"plasma","J14"
"12692.150011",FALSE,"plasma","J16"
"12692.150013",FALSE,"plasma","L16"
"12692.150022",FALSE,"plasma","N16"
"12692.150031",FALSE,"plasma","B18"
"12692.150032",FALSE,"plasma","H16"
"12692.150080",FALSE,"plasma","D18"
"12692.150083",FALSE,"plasma","J18"
"12692.150088",FALSE,"plasma","D16"
"12692.150093",FALSE,"plasma","L18"
"12692.150094",FALSE,"plasma","N14"
"12692.150095",FALSE,"plasma","P18"
"12692.150104",FALSE,"plasma","P14"
"12692.150108",FALSE,"plasma","B20"
"12692.150109",FALSE,"plasma","F18"
"12692.150113",FALSE,"plasma","D20"
"12692.150117",FALSE,"plasma","F16"
"12692.150126",FALSE,"plasma","F20"
"12692.150141",FALSE,"plasma","N18"
"12692.150143",FALSE,"plasma","H20"
"12692.150146",FALSE,"plasma","J20"
"12692.150156",FALSE,"plasma","L20"
"12692.150161",FALSE,"plasma","N20"
"12692.150162",FALSE,"plasma","P20"
"12692.150163",FALSE,"plasma","B22"
"12692.150166",FALSE,"plasma","D22"
"12692.150171",FALSE,"plasma","F22"
"12692.150178",FALSE,"plasma","H22"
"12692.150182",FALSE,"plasma","P16"
"12692.150186",FALSE,"plasma","J22"
"12692.150199",FALSE,"plasma","H18"
"12692.150209",FALSE,"plasma","L22"
"12692.150215",FALSE,"plasma","P22"
"12692.150224",FALSE,"plasma","D14"
"12692.150229",FALSE,"plasma","N22"
"12692.150230",FALSE,"plasma","F14"
"12692.150238",FALSE,"plasma","B24"
"12692.150242",FALSE,"plasma","D24"
"12692.Control.1",TRUE,"control blank DNA extraction","A3"
"12691.Control.10",FALSE,"plasma","J3"
"12692.Control.11",FALSE,"plasma","J4"
"12691.Control.12",FALSE,"plasma","K3"
"12692.Control.13",FALSE,"plasma","K4"
"12667.Control.14",FALSE,"plasma","L3"
"12692.Control.15",FALSE,"plasma","L4"
"12692.Control.16",FALSE,"plasma","M3"
"12692.Control.17",FALSE,"plasma","M4"
"12667.Control.18",FALSE,"plasma","N3"
"12692.Control.19",FALSE,"plasma","N4"
"12667.Control.2",TRUE,"control blank DNA extraction","A4"
"12692.Control.20",FALSE,"plasma","O3"
"12691.Control.21",FALSE,"plasma","O4"
"12692.Control.22",FALSE,"plasma","P3"
"12691.Control.23",FALSE,"plasma","P4"
"12692.Control.24",FALSE,"plasma","G7"
"12692.Control.25",FALSE,"plasma","G8"
"12667.Control.26",FALSE,"plasma","H7"
"12667.Control.27",FALSE,"plasma","H8"
"12691.Control.28",FALSE,"plasma","A12"
"12692.Control.29",FALSE,"plasma","B11"
"12691.Control.3",TRUE,"control blank DNA extraction","B3"
"12692.Control.30",FALSE,"plasma","B12"
"12692.Control.31",FALSE,"plasma","K14"
"12667.Control.32",FALSE,"plasma","L13"
"12692.Control.33",FALSE,"plasma","H12"
"12692.Control.34",FALSE,"plasma","I7"
"12692.Control.35",FALSE,"plasma","I8"
"12692.Control.36",FALSE,"plasma","J7"
"12692.Control.37",FALSE,"plasma","J8"
"12691.Control.38",FALSE,"plasma","C12"
"12691.Control.39",FALSE,"plasma","D11"
"12667.Control.4",TRUE,"control blank DNA extraction","B4"
"12691.Control.40",FALSE,"plasma","D12"
"12692.Control.41",FALSE,"plasma","M14"
"12692.Control.42",FALSE,"plasma","N13"
"12667.Control.43",FALSE,"plasma","J12"
"12691.Control.44",TRUE,"control blank library prep","O1"
"12692.Control.45",TRUE,"control blank library prep","O2"
"12692.Control.46",TRUE,"control blank library prep","P1"
"12667.Control.47",TRUE,"control blank library prep","P2"
"12691.Control.48",FALSE,"bacteria monoculture","A1"
"12692.Control.49",FALSE,"bacteria monoculture","C1"
"12691.Control.5",FALSE,"plasma","N12"
"12691.Control.50",FALSE,"bacteria monoculture","E1"
"12667.Control.51",FALSE,"bacteria monoculture","G1"
"12691.Control.52",FALSE,"bacteria monoculture","I1"
"12691.Control.53",FALSE,"bacteria monoculture","K1"
"12691.Control.54",FALSE,"bacteria monoculture","M1"
"12692.Control.55",TRUE,"control blank DNA extraction","C3"
"12667.Control.56",TRUE,"control blank DNA extraction","E3"
"12692.Control.57",TRUE,"control blank DNA extraction","G3"
"12692.Control.58",TRUE,"control blank DNA extraction","C4"
"12667.Control.59",TRUE,"control blank DNA extraction","E4"
"12667.Control.6",FALSE,"plasma","P12"
"12667.Control.60",TRUE,"control blank DNA extraction","G4"
"12692.Control.61",TRUE,"control blank DNA extraction","D3"
"12691.Control.62",TRUE,"control blank DNA extraction","F3"
"12691.Control.63",TRUE,"control blank DNA extraction","H3"
"12692.Control.64",TRUE,"control blank DNA extraction","D4"
"12667.Control.65",TRUE,"control blank DNA extraction","F4"
"12691.Control.66",TRUE,"control blank DNA extraction","H4"
"12692.Control.67",FALSE,"bacteria monoculture","A2"
"12667.Control.68",FALSE,"bacteria monoculture","C2"
"12667.Control.69",FALSE,"bacteria monoculture","E2"
"12691.Control.7",FALSE,"plasma","B14"
"12667.Control.70",FALSE,"bacteria monoculture","G2"
"12667.Control.71",FALSE,"bacteria monoculture","I2"
"12691.Control.72",FALSE,"bacteria monoculture","K2"
"12691.Control.73",FALSE,"bacteria monoculture","M2"
"12691.Control.74",FALSE,"bacteria monoculture","B1"
"12692.Control.75",FALSE,"bacteria monoculture","D1"
"12691.Control.76",FALSE,"bacteria monoculture","F1"
"12691.Control.77",FALSE,"bacteria monoculture","H1"
"12691.Control.78",FALSE,"bacteria monoculture","J1"
"12692.Control.79",FALSE,"bacteria monoculture","L1"
"12667.Control.8",FALSE,"plasma","I3"
"12692.Control.80",FALSE,"bacteria monoculture","N1"
"12692.Control.81",FALSE,"bacteria monoculture","B2"
"12667.Control.82",FALSE,"bacteria monoculture","D2"
"12667.Control.83",FALSE,"bacteria monoculture","F2"
"12692.Control.84",FALSE,"bacteria monoculture","H2"
