"","sample_name","na_plate_location"
"1","13092.000117053.covid","G4"
"2","13092.000117054.covid","A5"
"3","13092.000117055.covid","D4"
"4","13092.000117056.covid","C4"
"5","13092.000117057.covid","C5"
"6","13092.000117059.covid","E5"
"7","13092.000117060.covid","G5"
"8","13092.000117065.covid","F2"
"9","13092.000117066.covid","E2"
"10","13092.000117067.covid","D2"
"11","13092.000117068.covid","C2"
"12","13092.000117069.covid","B1"
"13","13092.000117070.covid","A1"
"14","13092.000117071.covid","A2"
"15","13092.000117086.covid","H1"
"16","13092.000117087.covid","G1"
"17","13092.000117088.covid","F1"
"18","13092.000117089.covid","E1"
"19","13092.000117090.covid","D1"
"20","13092.000117159.covid","B5"
"21","13092.000117160.covid","H4"
"22","13092.000117227.covid","D5"
"23","13092.000117228.covid","F5"
"24","13092.000117229.covid","H5"
"25","13092.000117246.covid","G2"
"26","13092.000117247.covid","H2"
"27","13092.000117248.covid","A3"
"28","13092.000117257.covid","F4"
"29","13092.000117258.covid","B4"
"30","13092.000117259.covid","A4"
"31","13092.000117260.covid","H3"
"32","13092.000117261.covid","G3"
"33","13092.000117263.covid","F3"
"34","13092.000117264.covid","E3"
"35","13092.000117374.covid","E9"
"36","13092.000117386.covid","F11"
"37","13092.000117390.covid","G9"
"38","13092.000117394.covid","H9"
"39","13092.000117398.covid","A10"
"40","13092.000117402.covid","B10"
"41","13092.000117407.covid","G12"
"42","13092.000117410.covid","D9"
"43","13092.000117414.covid","D8"
"44","13092.000117418.covid","C8"
"45","13092.000117422.covid","E11"
"46","13092.000117426.covid","A8"
"47","13092.000117434.covid","A11"
"48","13092.000117438.covid","H8"
"49","13092.000117442.covid","A9"
"50","13092.000117445.covid","H10"
"51","13092.000117450.covid","D10"
"52","13092.000117454.covid","G11"
"53","13092.000117455.covid","H12"
"54","13092.000117458.covid","E10"
"55","13092.000117462.covid","C10"
"56","13092.000117466.covid","D11"
"57","13092.000117470.covid","B8"
"58","13092.000117494.covid","B11"
"59","13092.000117498.covid","G10"
"60","13092.000117506.covid","F10"
"61","13092.000117513.covid","G8"
"62","13092.000117517.covid","E8"
"63","13092.000117519.covid","F8"
"64","13092.000117521.covid","B9"
"65","13092.000117523.covid","F9"
"66","13092.000117524.covid","C9"
"67","13092.000117755.covid","B3"
"68","13092.000117756.covid","C3"
"69","13092.000117757.covid","D3"
"70","13092.000118432.covid","C11"
"71","13092.84.covid","C1"
"72","13092.85.covid","B2"
"73","13092.87.covid","E4"
"74","13092.v2.7.ZymoMock.A7","A7"
"75","13092.v2.7.ZymoMock.B7","B7"
"76","13092.v2.7.ZymoMock.C7","C7"
"77","13092.v2.7.ZymoMock.D7","D7"
"78","13092.v2.7.ZymoMock.E7","E7"
"79","13092.v2.7.ZymoMock.F7","F7"
"80","13092.v2.7.ZymoMock.G7","G7"
"81","13092.v2.7.ZymoMock.H7","H7"
"82","13092.v2.7.blank.A12","A12"
"83","13092.v2.7.blank.A6","A6"
"84","13092.v2.7.blank.B12","B12"
"85","13092.v2.7.blank.B6","B6"
"86","13092.v2.7.blank.C12","C12"
"87","13092.v2.7.blank.C6","C6"
"88","13092.v2.7.blank.D12","D12"
"89","13092.v2.7.blank.D6","D6"
"90","13092.v2.7.blank.E12","E12"
"91","13092.v2.7.blank.E6","E6"
"92","13092.v2.7.blank.F12","F12"
"93","13092.v2.7.blank.F6","F6"
"94","13092.v2.7.blank.H11","H11"
"95","13092.v2.7.blank.H6","H6"
